session_id,mid_category,result_label,Profane,honorific_ratio,positive_word_ratio,negative_word_ratio,euphonious_word_ratio,empathy_ratio,apology_ratio,suggestions,customer_sentiment_early,customer_sentiment_late,customer_sentiment_trend,avg_response_latency,interruption_count,silence_ratio,talk_ratio
40501,멤버십,만족,0,74.3,11.6,5.3,8.0,3.2,0.1,0.2,0.59,0.18,0.09,1.31,0,0.15,0.51
40502,서비스불만,미흡,0,79.8,14.1,2.3,6.8,16.0,3.1,0.0,0.89,0.28,0.19,1.0,2,0.27,0.53
40503,해약문의,미흡,1,65.2,19.5,2.3,5.1,27.8,2.3,1.0,0.47,0.47,0.76,0.51,3,0.08,0.53
40504,환불,미흡,1,72.9,19.6,2.4,6.3,16.5,0.2,0.6,0.06,0.34,0.4,2.75,2,0.19,0.63
40505,업그레이드,만족,0,86.3,17.4,2.6,5.5,10.3,0.4,0.6,0.62,0.53,0.2,2.23,2,0.15,0.66
40506,환불,미흡,0,86.4,14.4,7.3,8.6,21.8,2.7,0.0,-0.09,0.52,0.01,2.96,3,0.36,0.74
40507,기술지원,추가 상담 필요,0,59.4,9.8,3.1,4.5,27.0,1.1,0.6,0.05,0.69,-0.05,2.0,0,0.45,0.55
40508,해약문의,만족,0,62.3,18.9,4.4,4.0,18.5,4.6,1.0,1.0,0.34,-0.37,2.16,3,0.11,0.78
40509,해약문의,해결 불가,1,56.8,14.3,7.2,8.2,1.7,2.7,1.0,0.08,-0.12,0.12,3.17,3,0.07,0.55
40510,해약문의,미흡,0,70.4,13.7,6.5,7.8,26.4,0.6,0.6,0.43,0.21,-0.5,1.87,2,0.31,0.57
40511,가입절차,해결 불가,0,56.0,6.5,5.9,3.5,0.5,1.7,0.2,0.01,1.0,0.11,2.36,2,0.44,0.57
40512,멤버십,해결 불가,0,71.0,13.7,6.1,9.0,20.3,2.5,1.0,0.29,0.72,0.64,0.74,1,0.44,0.71
40513,요금문의,추가 상담 필요,0,77.7,14.3,1.3,4.0,27.0,0.6,0.0,0.38,0.38,0.04,2.24,1,0.4,0.7
40514,서비스불만,미흡,0,64.7,9.1,2.0,10.7,4.7,1.4,1.0,-0.47,0.44,0.28,0.68,0,0.34,0.57
40515,환불,미흡,0,78.7,11.7,7.1,10.0,15.8,1.8,1.0,0.13,0.47,-0.1,1.12,0,0.28,0.54
40516,가입절차,만족,0,75.7,17.1,7.5,3.2,21.2,1.4,0.6,0.52,0.36,-0.39,2.54,3,0.06,0.43
40517,장비고장,미흡,0,55.8,19.6,2.3,5.3,5.3,3.3,0.0,0.58,0.56,0.23,0.96,3,0.42,0.5
40518,기술지원,만족,0,74.6,16.4,5.4,5.2,7.4,2.9,0.0,0.42,0.71,0.08,1.87,1,0.28,0.43
40519,장비고장,추가 상담 필요,0,64.1,5.2,7.5,7.5,2.0,1.3,0.2,0.04,0.87,0.29,1.36,1,0.24,0.53
40520,요금문의,만족,1,69.5,13.5,1.9,8.3,4.8,0.3,0.0,0.44,0.39,0.19,1.37,2,0.06,0.48
40521,기술지원,미흡,1,64.9,11.7,4.3,3.8,3.5,1.5,0.2,0.17,0.41,0.33,3.14,3,0.12,0.66
40522,멤버십,만족,0,79.3,14.3,4.9,9.6,8.7,1.7,0.6,0.09,0.4,0.02,1.67,1,0.19,0.7
40523,부가서비스,만족,0,70.4,8.8,3.9,8.9,22.5,0.2,0.2,0.32,0.51,0.31,1.8,1,0.44,0.6
40524,기술지원,추가 상담 필요,1,60.5,17.1,1.5,4.8,20.8,1.0,0.2,1.0,0.82,0.45,2.02,0,0.31,0.59
40525,부가서비스,만족,1,74.1,16.0,7.1,4.0,22.9,0.9,0.6,0.05,0.27,0.0,0.9,2,0.33,0.54
40526,업그레이드,만족,1,82.3,17.5,4.8,11.0,19.8,0.9,0.0,0.63,1.0,0.06,2.02,3,0.2,0.78
